caserne_brigands_L3_desc;The more violent and better-trained of the outlaws and bandits sleep and train here, ever vigilant for the next engagement with caravan guards or military patrol.;Ici dorment et s'entraînent les bandits au milieu de piles d'armes volées.;;;;;;;;;;;;x
reseau_provincial_L1;Underground Trade Network I;Commerce parallèle naissant;;;;;;;;;;;;x
reseau_provincial_L1_desc;This indicates the level of the influence of this crime network over the province.;Toute organisation criminelle se doit d'établir un réseau de receleurs et autres contrebandiers.;;;;;;;;;;;;x
reseau_provincial_L2;Underground Trade Network II;Commerce parallèle organisé;;;;;;;;;;;;x
reseau_provincial_L2_desc;This indicates the level of the influence of this crime network over the province.;On peut trouver partout dans la province de fort belles marchandises préalablement subtilisées.;;;;;;;;;;;;x
reseau_provincial_L3;Underground Trade Network III;Commerce parallèle efficace;;;;;;;;;;;;x
reseau_provincial_L3_desc;This indicates the level of the influence of this crime network over the province.;L'efficacité du commerce souterrain est surprenante : marchandises moins chères que sur le marché et parfois de meilleure qualité, les bourgeois en raffolent ! ;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
#FERME CEREALIERE (plaine et terres arables);;;;;;;;;;;;;;;x
CA_AGRI_cereale_L1;Cereals: Land Clearance;CEREALES : Plaine Défrichée;;;;;;;;;;;;x;
CA_AGRI_cereale_L1_desc;This land has been cleared and prepared for the large-scale cultivation of cereals.;Ce terrain a été défriché et devrait bientôt pouvoir produire des céréales.;;;;;;;;;;;x
CA_AGRI_cereale_L2;Cereals: Cultivated Fields;CEREALES : Champs Cultivés;;;;;;;;;;;;x;
CA_AGRI_cereale_L2_desc;This land supports the large-scale cultivation of multiple crops of cereals according to the rhythm of the seasons.;Ce terrain comporte maintenant plusieurs champs cultivés où se succèdent différents assolements triennaux céréaliers aux rythmes des saisons.;;;;;;;;;;;;x;
CA_AGRI_cereale_L3;Cereals: Farming Estates;CEREALES : Exploitation Agricole;;;;;;;;;;;;x;
CA_AGRI_cereale_L3_desc;The local lord holds authority over multiple estates upon which thousands of peasants toil to cultivate a vast surplus of cereals.;Ce qui était naguère un tas de broussailles est maintenant une exploitation agricole où la culture du blé et du froment sont menées de main de maître.;;;;;;;;;;;;x;
#VERGER (côteaux);;;;;;;;;;;;;;;x
CA_AGRI_verger_L1;Fruits: Small Orchards;FRUITS : Vergers Épars;;;;;;;;;;;;x
CA_AGRI_verger_L1_desc;Small orchards tended to by a few dozen workers dot the countryside, but more fertile land is available for  large-scale cultivation.;;;;;;;;;;;;;x
CA_AGRI_verger_L2;Fruits: Large Orchards;FRUITS : Grands Vergers;;;;;;;;;;;;x
CA_AGRI_verger_L2_desc;Through considerable investments in expanding the scale of production, large orchards now span the many hills and fields of this province.;;;;;;;;;;;;x
CA_AGRI_verger_L3;Fruits: Seigneurial Orchards;FRUITS : Vergers Seigneuriaux;;;;;;;;;;;;x
CA_AGRI_verger_L3_desc;The local lord has taken control over the majority of the fruit orchards in this province and expanded them further. Thousands of peasants now toil in the groves harvesting fruit from trees bending under their own weight to send to market.;Les vergers couvrent à présent une bonne partie des côteaux et les arbres plient sous le poids de leurs fruits abondants.;;;;;;;;;;;;x;
#ELEVAGE ovin (sauf montagne);;;;;;;;;;;;;;;x
CA_ELEV_ovin_L1a;Wool: Pasturages;BETAIL : Pâturages;;;;;;;;;;;;x;
CA_ELEV_ovin_L1a_desc;Putting sheep out to pasture on the vast grazing lands in this province forms the foundation of a stable economy, but land use is inefficient and there is more than enough land to support larger herds.;Un endroit propice à la consommation de l'herbe, un met de choix pour les ovins sous la houlette des bergers et bergères venant des hameaux alentours.;;;;;;;;;;;;x;
CA_ELEV_ovin_L2a;Wool: Enclosures;BETAIL : Enclos à ovins;;;;;;;;;;;;x;
CA_ELEV_ovin_L2a_desc;Enclosing sheep herds allows more efficient use of grazing lands as well as better protection from predators and rustlers.;Un ensemble d'enclos a été construit de manière à concentrer davantage la production ovine et en faciliter la surveillance.;;;;;;;;;;;;x;
CA_ELEV_ovin_L3a;Wool: Sheep Pens;BETAIL : Bergerie;;;;;;;;;;;;x;
CA_ELEV_ovin_L3a_desc;Keeping the sheep penned reduces the risk of losing them to theft or predators. The establishment of proper infrastructure for the breeding and cultivation of large herds of sheep has delivered significant returns.;La bergerie accueille les ovins pour la nuit et leur apporte protection face aux prédateurs aux longues dents...;;;;;;;;;;;;x;
#ELEVAGE ovin (alpage, montagne);;;;;;;;;;;;;;;x
CA_ELEV_ovin_L1b;Cheese: Mountain Pasturage;BETAIL : Alpage;;;;;;;;;;;;x;
CA_ELEV_ovin_L1b_desc;Although grazing land is limited in these lands, it is still sustainable to herd livestock for the production of dairy products.;Cette prairie d'altitude est fréquentée pendant toute la belle saison et offre aux ovins une herbe fleurie et savoureuse dont ils raffolent.;;;;;;;;;;;;x;
CA_ELEV_ovin_L2b;Cheese: Mountain Enclosures;BETAIL : Refuge d'alpage;;;;;;;;;;;;x;
CA_ELEV_ovin_L2b_desc;Enclosing the herds allows more efficient use of grazing lands as well as better protection from predators, rustlers, and the unfriendly mountain climate.;Tout juste un modeste abri en bois assorti d'un enclos pour les bêtes, assurant néanmoins de meilleures conditions d'élevage.;;;;;;;;;;;;x;
CA_ELEV_ovin_L3b;Cheese: Mountain Hamlet;BETAIL : Hameau d'alpage;;;;;;;;;;;;x;
CA_ELEV_ovin_L3b_desc;Small communities of shepherds have established hamlets centered around the breeding of livestock, increasing production and making more efficient use of shared land.;Tout juste quelques cabanes et abris saisonniers accueillant un petit groupe de bergers et leurs troupeaux paissant sur l'ensemble de l'alpage.;;;;;;;;;;;;x;
#BOIS (plaine + foret );;;;;;;;;;;;;;;x
CA_BOIS_bois_L1;Timber: Woodcutters' Lodges;BOIS : Site de Coupe;;;;;;;;;;;;x;
CA_BOIS_bois_L1_desc;Small lodges support a few dozen lumberjacks at a time as they chip slowly at the woodlands of the region, supplying only barely what is needed to sustain local industries.;;;;;;;;;;;;;x;
CA_BOIS_bois_L2;Timber: Logging Camp;BOIS : Camp de Bûcherons;;;;;;;;;;;;x;
CA_BOIS_bois_L2_desc;Larger camps of loggers have opened up and teams of lumberjacks are making their way deeper into the woods. Logs are piling up faster than the oxen can transport them back to the villages and cities.;;;;;;;;;;;;;x;
CA_BOIS_bois_L3;Timber: Lumber Mill;BOIS : Exploitation Forestière;;;;;;;;;;;;x;
CA_BOIS_bois_L3_desc;The construction of lumber mills have greatly increased productivity and lessened the logistical burden of hauling uncut logs to the cities for processing. Small villages springing up next to these facilities provide more labor and support for the hundreds of loggers employed throughout the province.;;;;;;;;;;;;;x;
#CHARBON DE BOIS (foret);;;;;;;;;;;;;;;x
CA_BOIS_charbon_L1;Charcoal: Colliers' Huts;CHARBON DE BOIS : Charbonnière Improvisée;;;;;;;;;;;;x;
CA_BOIS_charbon_L2;Charcoal: Coal-firing Kilns;CHARBON DE BOIS : Charbonnière Permanente;;;;;;;;;;;;x;
CA_BOIS_charbon_L3;Charcoal: Seigneurial Kilns;CHARBON DE BOIS : Charbonnière Seigneuriale;;;;;;;;;;;;x;
#CARRIERE pierre (montagne + côteau);;;;;;;;;;;;;;;x
CA_CARR_pierre_L1;Stone: Open-cast Quarry;PIERRE : Carrière sommaire;;;;;;;;;;;;x;
CA_CARR_pierre_L1_desc;Stone is mined here in significant quantities, but surveyors have discovered veins that run deep into the soil. Perhaps an expansion of operations underground might be in order.;L'exploitation consiste surtout à casser des rochers plus gros dans un éboulis ou un affleurement rocheux d'une colline. On y extrait péniblement roches et remblais qui seront utilisés localement.;;;;;;;;;;;;x;
CA_CARR_pierre_L2;Stone: Shallow Shaft Mining;PIERRE : Front de taille;;;;;;;;;;;;x;
CA_CARR_pierre_L2_desc;The construction of a shaft extending deep underground allows for more stone to be extracted in blocks and lifted to the surface by ingenious elevators and sturdy cranes.;L'intensification de l'extraction a formé cette paroi verticale ouverte dans ce flanc de plateau, permettant d'extraire de la pierre en gros bloc qui pourront donner une belle pierre de taille.;;;;;;;;;;;;x;
CA_CARR_pierre_L3;Stone: Extensive Shaft Mining;PIERRE : Grande Carrière;;;;;;;;;;;;x;
CA_CARR_pierre_L3_desc;The construction of an extensive tunnel network and the machinery needed to lift large blocks of stone to the surface have greatly increased productivity to supply the construction of fortifications and cathedrals, but also make mining much more dangerous and a few lives are claimed every year.;Ce site carrier fournit l'ensemble de la région en pierre de qualité qui sert notamment à l'édification de fortifications ou contructions telles les églises et cathédrales.;;;;;;;;;;;;x;
#MINE minerai (montagne + côteau);;;;;;;;;;;;;;;x
CA_MINE_minerai_L1;Raw Ores: Open-cast Mine;MINERAI : Excavation Minière;;;;;;;;;;;;x;
CA_MINE_minerai_L1_desc;This surface mine only yields a bare amount of ore compared to the volume potentially hidden underground. Additional infrastructure is needed to extract more ores from deeper within the subsoil.;Une excavation grossière a été forée dans la roche. On y en extrait péniblement du minerai.;;;;;;;;;;;;x;
CA_MINE_minerai_L2;Raw Ores: Shallow Shaft Mining;MINERAI : Tunnels Miniers;;;;;;;;;;;;x;
CA_MINE_minerai_L2_desc;The construction of a shaft extending deep underground allows for more ore to be extracted and lifted to the surface by ingenious elevators and sturdy cranes.;L'excavation s'est agrandie et des galeries partent dans plusieurs directions qui suivent les veines, permettant une production croissante qui pourra être transformée dans une forge.;;;;;;;;;;;;x;
CA_MINE_minerai_L3;Raw Ores: Extensive Shaft Mining;MINERAI : Grande Mine;;;;;;;;;;;;x;
CA_MINE_minerai_L3_desc;The construction of an extensive tunnel network and the machinery needed to lift large loads of ore to the surface have greatly increased productivity to supply the production of arms and tools, but also make mining much more dangerous and a few lives are claimed every year.;Maintenant, une vraie mine soutenue par des étais a été creusée. Les risques d'éboulement sont diminués et les mineurs peuvent travailler plus sereinement. Le minerai extrait en bonnes quantités pourra dès lors fournir le métal nécessaire à la fabrication d'armes et outils.;;;;;;;;;;;;x;
#FISH pêche (côtes);;;;;;;;;;;;;;;x
CA_FISH_peche_L1;Fishing: Fishing Piers;PECHE : Ponton;;;;;;;;;;;;x;
CA_FISH_peche_L1_desc;A small pier has been constructed to accommodate the emergence of a small fishing village. Some fish are caught here, but the waters are still teeming with wildlife and could yield even more were there more infrastructure to support local fishing.;Un ponton a été construit afin d'y accueillir quelques barques de pêcheurs.;;;;;;;;;;;;x;
CA_FISH_peche_L2;Fishing: Fishing Quay;PECHE : Quai;;;;;;;;;;;;x;
CA_FISH_peche_L2_desc;The pier has been renovated into a quay capable of accommodating a sizeable flotilla of small fishing craft. The yield has increased considerably and can easily feed the local populace and leave a surplus for the salting and smoking industries;Le ponton a été transformé en un quai et peut maintenant accueillir une flotille de pêche ramenant suffisamment de poissons tant pour nourrir la population locale qu'alimenter les activités de salage et fumage de la région.;;;;;;;;;;;;x;
CA_FISH_peche_L3;Fishing: Fishing Harbor;PECHE : Port;;;;;;;;;;;;x;
CA_FISH_peche_L3_desc;The quay has been expanded into a bustling harbor and the fishing industry is booming here.;C'est maintenant un port fourmillant d'activités et accueillant une pêche abondante qui est installé sur le site.;;;;;;;;;;;;x;
#FISH pisciculture (terres);;;;;;;;;;;;;;;x
CA_FISH_pisci_L1;Freshwater Fish: Artificial Lake;PISCICULTURE : Élevage en Rivière;;;;;;;;;;;;x;
CA_FISH_pisci_L2;Freshwater Fish: Fish Farms;PISCICULTURE : Étang Aménagé;;;;;;;;;;;;x;
#CA_FISH_pisci_L3;PISCICULTURE : Ferme Piscicole;PISCICULTURE : Ferme Piscicole;Ferme Piscicole;;;;;;;;;;;x;
CA_AGRI_moulin_L1;Flour: Horse Mill;;;;;;;;;;;;;x
CA_AGRI_moulin_L1_desc;;;;;;;;;;;;;;x
CA_AGRI_moulin_L2;Flour: Windmill;;;;;;;;;;;;;x
CA_AGRI_moulin_L2_desc;;;;;;;;;;;;;;x
CA_AGRI_moulin_L3;Flour: Watermill;;;;;;;;;;;;;x
CA_AGRI_moulin_L3_desc;;;;;;;;;;;;;;x
CA_AGRI_boulangerie_L1;Bread: Clay Kiln;;;;;;;;;;;;;x
CA_AGRI_boulangerie_L1_desc;;;;;;;;;;;;;;x
CA_AGRI_boulangerie_L2;Bread: Bakery;;;;;;;;;;;;;x
CA_AGRI_boulangerie_L2_desc;;;;;;;;;;;;;;x
CA_AGRI_boulangerie_L3;Bread: Bakers' Guild;;;;;;;;;;;;;x
CA_AGRI_boulangerie_L3_desc;;;;;;;;;;;;;;x
CA_FISH_fumoir_L1;Smoked Fish: Fishmonger's Smokehouse;;;;;;;;;;;;;x
CA_FISH_fumoir_L1_desc;;;;;;;;;;;;;;x
CA_FISH_fumoir_L2;Smoked Fish: Curing Shed;;;;;;;;;;;;;x
CA_FISH_fumoir_L2_desc;;;;;;;;;;;;;;x
CA_FISH_fumoir_L3;Smoked Fish: Communal Smokehouse;;;;;;;;;;;;;x
CA_FISH_fumoir_L3_desc;;;;;;;;;;;;;;x
CA_scierie_L1;Lumber: Man-powered Sawmill;;;;;;;;;;;;;x
CA_scierie_L1_desc;;;;;;;;;;;;;;x
CA_scierie_L2;Lumber: Hydro-powered Sawmill;;;;;;;;;;;;;x
CA_scierie_L2_desc;;;;;;;;;;;;;;x
CA_scierie_L3;Lumber: Carriage Sawmill;;;;;;;;;;;;;x
CA_scierie_L3_desc;;;;;;;;;;;;;;x
CA_four_L1;Glass: Glassmaker's Furnace;;;;;;;;;;;;;x
CA_four_L1_desc;;;;;;;;;;;;;;x
CA_four_L2;Glass: Glass Manufactory;;;;;;;;;;;;;x
CA_four_L2_desc;;;;;;;;;;;;;;x
CA_four_L3;Glass: Forest Glass Manufactory;;;;;;;;;;;;;x
CA_four_L3_desc;;;;;;;;;;;;;;x
CA_pierre_taille_L1;Worked Stone: Stonemasons Lodge;;;;;;;;;;;;;x
CA_pierre_taille_L1_desc;;;;;;;;;;;;;;x
CA_pierre_taille_L2;Worked Stone: Stonemason Camp;;;;;;;;;;;;;x
CA_pierre_taille_L2_desc;;;;;;;;;;;;;;x
CA_pierre_taille_L3;Worked Stone: Stonemasons' Guild;;;;;;;;;;;;;x
CA_pierre_taille_L3_desc;;;;;;;;;;;;;;x
CA_fonderie_L1;Iron: Smelter;;;;;;;;;;;;;x
CA_fonderie_L1_desc;;;;;;;;;;;;;;x
CA_fonderie_L2;Iron: Foundry;;;;;;;;;;;;;x
CA_fonderie_L2_desc;;;;;;;;;;;;;;x
CA_fonderie_L3;Iron: Finery Forge;;;;;;;;;;;;;x
CA_fonderie_L3_desc;;;;;;;;;;;;;;x
CA_outilleur_L1;Tools: Catalan Forge;;;;;;;;;;;;;x
CA_outilleur_L1_desc;;;;;;;;;;;;;;x
CA_outilleur_L2;Tools: Bloomery;;;;;;;;;;;;;x
CA_outilleur_L2_desc;;;;;;;;;;;;;;x
CA_outilleur_L3;Tools: Blast Furnace;;;;;;;;;;;;;x
CA_outilleur_L3_desc;;;;;;;;;;;;;;x
CA_armurerie_L1;Arms: Wrought Iron Weaponsmith;;;;;;;;;;;;;x
CA_armurerie_L1_desc;;;;;;;;;;;;;;x
CA_armurerie_L2;Arms: Cast Iron Weaponsmith;;;;;;;;;;;;;x
CA_armurerie_L2_desc;;;;;;;;;;;;;;x
CA_armurerie_L3;Arms: Steel Weaponsmith;;;;;;;;;;;;;x
CA_armurerie_L3_desc;;;;;;;;;;;;;;x
CA_atelier_L1;Spun Cloth: Weaver's Workshop;;;;;;;;;;;;;x
CA_atelier_L1_desc;;;;;;;;;;;;;;x
CA_atelier_L2;Spun Cloth: Weavers' Manufactory;;;;;;;;;;;;;x
CA_atelier_L2_desc;;;;;;;;;;;;;;x
CA_atelier_L3;Spun Cloth: Clothmakers' Guild;;;;;;;;;;;;;x
CA_atelier_L3_desc;;;;;;;;;;;;;;x
CA_draperie_L1;Textiles: Dyer's Workshop;;;;;;;;;;;;;x
CA_draperie_L1_desc;;;;;;;;;;;;;;x
CA_draperie_L2;Textiles: Dyers' Manufactory;;;;;;;;;;;;;x
CA_draperie_L2_desc;;;;;;;;;;;;;;x
CA_draperie_L3;Textiles: Drapers' Guild;;;;;;;;;;;;;x
CA_draperie_L3_desc;;;;;;;;;;;;;;x
CA_ELEV_cheval_L1;Steppe Horses: Grazing Pastures;;;;;;;;;;;;;x
CA_ELEV_cheval_L1_desc;;;;;;;;;;;;;;x
CA_ELEV_cheval_L2;Steppe Horses: Horse Breeders;;;;;;;;;;;;;x
CA_ELEV_cheval_L2_desc;;;;;;;;;;;;;;x
CA_ELEV_cheval_L3;Steppe Horses: Equestrian Training Yard;;;;;;;;;;;;;x
CA_ELEV_cheval_L3_desc;;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x;
#;-Villes-;-Villes-;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x;
#FERME CEREALIERE (plaine et terres arables);;;;;;;;;;;;;;;x
CT_AGRI_cereale_L1;Cereals: Land Clearance;CEREALES : Plaine Défrichée;;;;;;;;;;;;x;
CT_AGRI_cereale_L1_desc;This land has been cleared and prepared for the large-scale cultivation of cereals.;Ce terrain a été défriché et devrait bientôt pouvoir produire des céréales.;;;;;;;;;;;x
CT_AGRI_cereale_L2;Cereals: Cultivated Fields;CEREALES : Champs Cultivés;;;;;;;;;;;;x;
CT_AGRI_cereale_L2_desc;This land supports the large-scale cultivation of multiple crops of cereals according to the rhythm of the seasons.;Ce terrain comporte maintenant plusieurs champs cultivés où se succèdent les assolements triennaux céréaliers au fil des saisons.;;;;;;;;;;;;x;
CT_AGRI_cereale_L3;Cereals: Farming Estates;CEREALES : Exploitation Agricole;;;;;;;;;;;;x;
CT_AGRI_cereale_L3_desc;The local communal government holds authority over multiple estates upon which laborers toil to cultivate a vast surplus of cereals.;Ce qui était naguère un tas de broussailles est maintenant une exploitation agricole où la culture de la céréale est menée de main de maître.;;;;;;;;;;;;x;
#VERGER (côteaux);;;;;;;;;;;;;;;x
CT_AGRI_verger_L1;Fruits: Small Orchards;FRUITS : Vergers Épars;;;;;;;;;;;;x
CT_AGRI_verger_L1_desc;Small orchards tended to by a few dozen workers dot the countryside, but more fertile land is available for  large-scale cultivation.;;;;;;;;;;;;;x
CT_AGRI_verger_L2;Fruits: Large Orchards;FRUITS : Grands Vergers;;;;;;;;;;;;x
CT_AGRI_verger_L2_desc;Through considerable investments in expanding the scale of production, large orchards now span the many hills and fields of this province.;;;;;;;;;;;;x
CT_AGRI_verger_L3;Fruits: Communal Orchards;FRUITS : Vergers Communaux;;;;;;;;;;;;x
CT_AGRI_verger_L3_desc;The communal government has expanded the majority of the fruit orchards in this province. Thousands of laborers now toil in the groves harvesting fruit from trees bending under their own weight to send to market.;Les vergers couvrent à présent une bonne partie des côteaux et les arbres plient sous le poids de leurs fruits abondants.;;;;;;;;;;;;x;
#ELEVAGE bovin;;;;;;;;;;;;;;;x
CT_ELEV_bovin_L1;Cattle: Pasturages;BETAIL : Pré;;;;;;;;;;;;x;
CT_ELEV_ovin_L1a_desc;Putting cattle out to pasture on the vast grazing lands in this province forms the foundation of a stable economy, but land use is inefficient and there is more than enough land to support larger herds.;Un pré pour les bovins a été délimité.;;;;;;;;;;;;x;
CT_ELEV_bovin_L2;Cattle: Enclosures;BETAIL : Enclos à ovins;;;;;;;;;;;;x;
CT_ELEV_ovin_L2a_desc;Enclosing cattle herds allows more efficient use of grazing lands as well as better protection from predators and rustlers.;Sur le pré, un ensemble de barrière formant un enclos a été établi.;;;;;;;;;;;;x;
CT_ELEV_bovin_L3;Cattle: Cattle Pens;BETAIL : Étable;;;;;;;;;;;;x;
CT_ELEV_ovin_L3a_desc;Keeping the cattle penned reduces the risk of losing them to theft or predators. The establishment of proper infrastructure for the breeding and cultivation of large herds of cattle has delivered significant returns.;Une étable accueillant les bêtes pour la nuit a été batie.;;;;;;;;;;;;x;
#BOIS (plaine + foret );;;;;;;;;;;;;;;x
CT_BOIS_bois_L1;Timber: Woodcutters' Lodges;BOIS : Site de Coupe;;;;;;;;;;;;x;
CT_BOIS_bois_L1_desc;Small lodges support a few dozen lumberjacks at a time as they chip slowly at the woodlands of the region, supplying only barely what is needed to sustain local industries.;;;;;;;;;;;;;x;
CT_BOIS_bois_L2;Timber: Logging Camp;BOIS : Camp de Bûcherons;;;;;;;;;;;;x;
CT_BOIS_bois_L2_desc;Larger camps of loggers have opened up and teams of lumberjacks are making their way deeper into the woods. Logs are piling up faster than the oxen can transport them back to the city.;;;;;;;;;;;;;x;
CT_BOIS_bois_L3;Timber: Lumber Mill;BOIS : Exploitation ForestiÃ¨re;;;;;;;;;;;;x;
CT_BOIS_bois_L3_desc;The construction of lumber mills have greatly increased productivity and lessened the logistical burden of hauling uncut logs to the cities for processing. Small villages springing up next to these facilities provide more labor and support for the hundreds of loggers employed throughout the province.;;;;;;;;;;;;;x;
#CHARBON DE BOIS (foret);;;;;;;;;;;;;;;x
CT_BOIS_charbon_L1;Charcoal: Colliers' Huts;CHARBON DE BOIS : Charbonnière Improvisée;;;;;;;;;;;;x;
CT_BOIS_charbon_L2;Charcoal: Coal-firing Kilns;CHARBON DE BOIS : Charbonnière Permanente;;;;;;;;;;;;x;
CT_BOIS_charbon_L3;Charcoal: Communal Kilns: Charbonnière Seigneuriale;CHARBON DE BOIS : Charbonnière Communnale;;;;;;;;;;;;x;
#CARRIERE pierre (montagne + côteau);;;;;;;;;;;;;;;x
CT_CARR_pierre_L1;Stone: Open-cast Quarry;PIERRE : Carrière sommaire;;;;;;;;;;;;x;
CA_CARR_pierre_L1_desc;Stone is mined here in significant quantities, but surveyors have discovered veins that run deep into the soil. Perhaps an expansion of operations underground might be in order.;L'exploitation consiste surtout à casser des rochers plus gros dans un éboulis ou un affleurement rocheux d'une colline. On y extrait péniblement roches et remblais qui seront utilisés localement.;;;;;;;;;;;;x;
