XYLO.0004A;These trees will be a remarkable wooden frame to enlarge the house of the Lord ... or my palace. Only god knows !;Ces arbres feront un remarquable bois charpente pour agrandir la demeure du Seigneur...ou de mon palais. Dieu seul le sait !;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
XYLO.0103;Timber sale to fill the coffers;Vente bois pour renflouer les caisses1;;;;;;;;;;;;x
DESCXYLO.0103;Our treasury is nearly empty. We could chop down some forest plots from our hunting demesne, and sell the timber to replenish the treasury.;Nos finances sont au plus bas. Nous pourrions abattre quelques parcelles de nos domaines de chasse afin de le vendre et renflouer un peu nos coffres.;;;;;;;;;;;;x
XYLO.0103A;It won't be necessary;Ce ne sera pas nécessaire.;;;;;;;;;;;;x
XYLO.0103B;Let's cut some of those.;Procédons à une coupe.;;;;;;;;;;;;x
XYLO.0104;Timber sale to fill the coffers;Vente bois pour renflouer les caisses2;;;;;;;;;;;;x
DESCXYLO.0104;We barely got enough gold to cover the bottom of our coffers. Do we need to chop down more forest plots from our hunting demesne ?;Nos finances sont toujours au plus bas. Devons nous abattre à nouveau le bois de quelques parcelles de nos domaines de chasse afin de le vendre et renflouer un peu nos coffres ?;;;;;;;;;;;;x
XYLO.0104A;Again ? No.;Encore ? Non.;;;;;;;;;;;;x
XYLO.0104B;Let's go for it.;Allons-y;;;;;;;;;;;;x
XYLO.0105;Timber sale to fill the coffers;Vente bois pour renflouer les caisses3;;;;;;;;;;;;x
DESCXYLO.0105;Our gold reserves is still hardly fit for a lord. Do we need to chop down more forest plots from our hunting demesne ?;Nos finances sont toujours au plus bas. Devons nous abattre à nouveau le bois de quelques parcelles de nos domaines de chasse afin de le vendre et renflouer un peu nos coffres ?;;;;;;;;;;;;x
XYLO.0105A;Again ? No.;Encore ? Non.;;;;;;;;;;;;x
XYLO.0105B;Let's go for it.;Allons-y;;;;;;;;;;;;x
XYLO.0106;To deforest a forest;La coupe de trop;;;;;;;;;;;;x
DESCXYLO.0106;Cutting down so many trees to fill our coffers has led to dramatic reduction in the foilage… We will probably soon have to halt most of our activites….;Couper autant d'arbres pour renflouer nos caisses a conduit à une réduction dramatique de la couverture forestière... Nous allons probalement devoir cesser bientôt un certain nombre de nos activités...;;;;;;;;;;;;x
XYLO.0106A;That is to say ?;C'est à dire ?;;;;;;;;;;;;x
XYLO.0107;;;;;;;;;;;;;;x
DESCXYLO.0107;;Au regard de notre niveau de piété, et puisque nous en aurions la possibilité, nous pourrions faire don d'une partie de nos bois à l'Eglise. \nCela serait bénéfique pour le salut de notre âme et la réputation de notre famille.;;;;;;;;;;;;x
XYLO.0107A;;Allons-y;;;;;;;;;;;;x
XYLO.0107B;;L'enjeu me semble trop faible;;;;;;;;;;;;x
XYLO.0107C;;Et si nous essayions d'en retirer quelques profits ?;;;;;;;;;;;;x
XYLO.0108;;;;;;;;;;;;;;x
DESCXYLO.0108;;Nos forêts sont grandes et nous pourrions en céder une partie à l'Eglise. \nCela serait bon pour le salut de notre âme et renforcerait notre très sainte Mère l'Eglise.;;;;;;;;;;;;x
XYLO.0108A;;Pour le salut de notre âme !;;;;;;;;;;;;x
XYLO.0108B;;Je trouverai d'autres moyens;;;;;;;;;;;;x
XYLO.0108C;;Et contre quelque or ?;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
XYLO.0201;;Achat v1;;;;;;;;;;;x;
DESCXYLO.0201;The treasury is brimming with coin. Expanding our forest domain could be an attractive investment opportunity. Should some of the gold be used to grow our woodland demesne?;Nos coffres débordent d'or. Agrandir nos possessions forestières peut être une option d'investissement intéressante. Souhaitez-vous investir quelque or dans cette voie ?;;;;;;;;;;;;x
XYLO.0201A;Trees... that must be a safe investment right ? Let's give it a shot.;Tentons cela.;;;;;;;;;;;;x
XYLO.0201B;Come back tomorrow.;Repassez demain.;;;;;;;;;;;;x
XYLO.0201C;Treasury filling up ?! Speak sense your imbecile ! There will be no wasting my money on silly plants.;Débordent, débordent, c'est vite dit. Non.;;;;;;;;;;;;x
XYLO.0202;;Achat v2;;;;;;;;;;;x;
DESCXYLO.0202;We have a lot of excess gold lying about, should some of it be put to work enlarging our woodland industry?;Nos coffres débordent d'or. Agrandir nos possessions forestières peut être une option d'investissement intéressante. Souhaitez-vous investir quelques pièces dans cette voie ?;;;;;;;;;;;;x
XYLO.0202A;Seems sensible.;Allons-y.;;;;;;;;;;;;x
XYLO.0202B;Not tonight, my head is hurting.;Pas ce soir, j'ai mal à la tête.;;;;;;;;;;;;x
XYLO.0202C;Excess gold ? Such a thing does not exist.;Débordent ? Qui prétend cela ? Non.;;;;;;;;;;;;x
XYLO.0203;;Achat v3;;;;;;;;;;;x;
DESCXYLO.0203;-Our coffers are teeming with gold, maybe it would be advisable to spend some of it on forest plots ?;Nos coffres débordent d'or. Agrandir nos possessions forestières peut être une option d'investissement intéressante. Souhaitez-vous investir quelques pièces dans cette politique ?;;;;;;;;;;;;x
XYLO.0203A;I like to see my money grow, let's put it to good use.;Cela me paraît un bon investissement.;;;;;;;;;;;;x
XYLO.0203B;Let me think it over.;Je dois réfléchir.;;;;;;;;;;;;x
XYLO.0203C;-Unless you have found a new lord to advice, I would advise you to lookup -no- in the dictionary.;N'ai-je pas déjà dit non ?;;;;;;;;;;;;x
XYLO.0302;forest charter related stuff;RR foret;;;;;;;;;;;;x
DESCXYLO.0302;;En nous réservant presque l'exclusivité des droits d'exploitation de nos forêts, cela crée un mécontentement croissant parmi la population. Nous pourrions par exemple accorder une licence forestière pour une courte durée durée afin de calmer les vélléités des villageois dans la province de [From.Location.GetName].;;;;;;;;;;;;x
XYLO.0302A;;Il nous faut agir avant que ça ne dégénère.;;;;;;;;;;;;x
XYLO.0302B;;Faisons un geste.;;;;;;;;;;;;x
XYLO.0302C;And ? ;Et alors ?;;;;;;;;;;;;x
XYLO.0303;;RR général + foret;;;;;;;;;;;;x
DESCXYLO.0303;;La révolte gronde en [From.Location.GetName] ! L'exploitation de la forêt à vos seules fins semble être l'un des objets des revendications et qui vient s'ajouter à d'autres causes. Relâcher un peu de pression pendant un temps sur ce point en proposant un licence forestière pourrait calmer la population.;;;;;;;;;;;;x
XYLO.0303A;;Soyons efficace, et dans la durée !;;;;;;;;;;;;x
XYLO.0303B;;Tentons cela pour le moment.;;;;;;;;;;;;x
XYLO.0303C;;Ce n'est pas la cause principale.;;;;;;;;;;;;x
XYLO.0304;;demande d'upgrade de la licence;;;;;;;;;;;;x
DESCXYLO.0304;;Les villageois prétendent peiner à survivre car ils ne peuvent profiter que d'une trop infime part des richeses de la forêt. Ils implorent votre bonté pour l'octroi d'une charte leur ouvrant des droits supplémentaires sur la forêt de [From.Location.GetName]. Que décidez-vous ?;;;;;;;;;;;;x
XYLO.0304A;Granted;Accordé.;;;;;;;;;;;;x
XYLO.0304B;I govern !;JE gouverne !;;;;;;;;;;;;x
XYLO.0305;;demande d'upgrade de la licence;;;;;;;;;;;;x
DESCXYLO.0305;;La licence forestière accordée ne suffit pas au peuple de [From.Location.GetName]. Il est toujours inquiet des restrictions qui persistent, il demande une charte lui garantissant plus de droits et sur une plus longue durée. Que faisons-nous ?;;;;;;;;;;;;x
XYLO.0305A;Granted;Accordé.;;;;;;;;;;;;x
XYLO.0305B;;Nous ne pouvons nous le permettre.;;;;;;;;;;;;x
XYLO.0305C;;Supprimons la charte existante ça leur apprendra !;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
#;;EVENTS BANDITS;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
EVTDESC68001;The peasants of [Root.GetName] are slowly starting to respect my rule again. I should keep my demesne small enough to manage.;Les paysans de [Root.GetName] recommencent progressivement à respecter mon autorité. Je devrais maintenir mon domaine à une taille gérable.;;;;;;;;;;;;x
EVTDESC68010;Due to my somewhat lacking Stewardship skill, a Thieves' Guild has been established in [Root.GetName].;Mon inaptitude pour l’intendance a entraîné l’établissement d’une Guilde de voleurs à [Root.GetName].;;;;;;;;;;;;x
EVTDESC68020;My less than perfect Diplomacy has allowed a Smugglers' Ring to appear in [Root.GetName].;Mes piètres talents de diplomate ont permis à un Cercle de contrebandiers de se créer à [Root.GetName].;;;;;;;;;;;;x
EVTDESC68030;Due to my mediocre understanding of Martial matters, bands of robbers are roaming the countryside in [Root.GetName]. They are too craven to attack my castles though.;À cause de mon manque de discernement dans le domaine martial, des bandes de voleurs sillonnent les campagnes de [Root.GetName]. Ils sont cependant trop lâches pour attaquer mes châteaux.;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
raids_pirates;Pirates' raids;Raids pirates;;;;;;;;;;;;x
raids_pirates_desc;;Les raids des pirates ici sont réguliers. Face à l'inefficacité et l'impuissance du Seigneur ils prospèrent et ont probablement établi domicile non loin de là.;;;;;;;;;;;;x
XYLO.02101;;établissement des pirates;;;;;;;;;;;;x
DESCXYLO.02101;Due to our incapacity to rule so much lands, a band of pirates freely terrorize the coasts of [From.Location.GetName];Nous avons bien trop de terres à gérer... surtout au reagrd de nos compétences et notre incapacité à y maintenir l'ordre. Voilà une situation en or pour les roublards de tous poil ! Notamment semble-t-il cette bande de pirates qui sévit depuis quelques temps déjà et lancent des raids de plus en plus audacieux sur les côtes de [From.Location.GetName].;;;;;;;;;;;;x
XYLO.02101A;Gottferdom ! ;Gottferdom ! ;;;;;;;;;;;;x
XYLO.02101B;;Sacrebleu ! ;;;;;;;;;;;;x
XYLO.02102;;suppression des pirates;;;;;;;;;;;;x
DESCXYLO.02102;Pirates' raids ends in [From.Location.GetName].;En retrouvant un Domaine à la mesure de ce que nous pouvions maintenir en ordre et au prix d'une lutte longue et acharnée, nous avons finalement pu regagner le contrôle de nos terres et éradiquer les pirates qui ravageaient les côtes de [From.Location.GetName].;;;;;;;;;;;;x
XYLO.02102A;Il était temps !;Il était temps !;;;;;;;;;;;;x
DESC00401;;Sortis de nul part, un groupe de bandits nous attaquent ! \n Personne ne m'avait-il conseillé de m'occuper de la prolifération des bandits sur nos terres ? ;;;;;;;;;;;;x;
XYLO.04013A;They are few enough to defeat alone..;Ils ne sont pas nombreux, je peux les vaincre seul...;;;;;;;;;;;;x;
XYLO.04013B;Charge!;Chargez !;;;;;;;;;;;;x;
XYLO.0401C;Pay them .;Payer-les.;;;;;;;;;;;;x;
bandits_installes;Well settlef bandits;Bandits bien installés;;;;;;;;;;;;x
bandits_installes_desc;;Les voleurs, malandrins et autres bandes d'affreux ce sont installés durablement sur ces terres, s'affairant à leurs viles activités et avec des conséquences désastreuses.;;;;;;;;;;;;x
chef_malandrin;Bandit leader;Meneur de bandits;;;;;;;;;;;;x
chef_malandrin_desc;Bandits in [From.Location.GetName] are now installed for some times and tend to reinforce. Maybe it is time to act against them ?;Ce personnage est à la tête d'une bande de malfrats toujours plus influants pillant et volant dans la région. Il serait peut être temps de s'en débarrasser non ?;;;;;;;;;;;;x
XYLO.0211;;renforcement des bandits;;;;;;;;;;;;x
DESCXYLO.0211;;Les bandits qui terrorisent la campagne et pertubent le commerce sont à présent installés depuis un certain temps dans la région de [From.Location.GetName]. \nPeut-être faudrait-il tenter de les disperser avant que la situation ne s'aggrave ?;;;;;;;;;;;;x
XYLO.0211A;War is raging, there is nothing we can do;La guerre fait rage, nous ne pouvons rien faire;;;;;;;;;;;;x
XYLO.0211B;Let's decide what to do.;Décidons au plus vite de ce qu'il convient de faire.;;;;;;;;;;;;x
reunir_le_conseil;Convocate the Council;Nous réunissons le Conseil afin de prendre une décision.;;;;;;;;;;;;x
XYLO.0212;send a councilor;envoyer un conseiller;;;;;;;;;;;;x
DESCXYLO.0212;How will we try to eliminate the bandits that terrorize [From.Location.GetName];Au regard de la situation, par quel moyen pourrions-nous nous débarrasser de ces bandits qui empoisonnent l'économie et la vie de nos gens de la région de [From.Location.GetName] ?;;;;;;;;;;;;x
XYLO.0212A;Try negociating;Tentons de négocier;;;;;;;;;;;;x
XYLO.0212B;Try destabilize them;Tentons de les déstabiliser;;;;;;;;;;;;x
XYLO.0212C;Try to defeat them;Tentons de les mater;;;;;;;;;;;;x
XYLO.0212D;Don't worry they will leave one day...;Il n'y pas de quoi s'alarmer, ils partiront bien un jour...;;;;;;;;;;;;x
envoi_chancelier;Chancelor sent;Notre Chancelier est missionné pour tenter de trouver une issue acceptable pour les deux camps.;;;;;;;;;;;;x
envoi_espion;Spymaster sent;Notre maître-espion va tenter disperser les bandits par la ruse.;;;;;;;;;;;;x
envoi_marechal;Marshal sent;Notre maréchal part accompagné de ses hommes tenter de réduire les bandits.;;;;;;;;;;;;x
laisser_faire;We do nothing, hoping the situation will settle down quietly...;Nous ne faisons rien. En espérant que la situation se tasse sans trop de heurts...;;;;;;;;;;;;x
XYLO.02120;;Réussite;;;;;;;;;;;;x
DESCXYLO.02120;Victory ! \n Bandits left [From.Location.GetName] but the province needs to recover.;Notre démarche n'a pas été vaine et nous avons pu démanteler ce nid de bandits qui empoisonnait la région de [From.Location.GetName].\n Espérons que la région s'en remette assez rapidement...;;;;;;;;;;;;x
XYLO.02121;;Echec;;;;;;;;;;;;x
DESCXYLO.02121;Fail ! \n Bandits will now probably re-inforce their presence in [From.Location.GetName]...;Malgré tous nos efforts, nous ne sommes pas parvenus à nous débarraser des fauteurs de troubles de la région de [From.Location.GetName].\n Pillages, vols et destructions restent le lot quotidien des populations locales. Il est à redouter à présent que cette entreprise qui a déjà bien trop duré ne cesse de prospérer et ne conteste encore plus ouvertement notre autorité.;;;;;;;;;;;;x
XYLO.02131;;Fief libre + échec;;;;;;;;;;;;x
DESCXYLO.02131;As expected, the bandits in [From.Location.GetName] continue to proliferate.;Comme nous devions le craindre, les bandits ont continué de plus belles leurs méfaits et ont désormais la mainmise sur une bonne partie de l'économie de [From.Location.GetName].;;;;;;;;;;;;x
XYLO.02131A;Wonderfull news... ;Super nouvelle... ;;;;;;;;;;;;x
XYLO.02132;;Pas de Fief libre + échec;;;;;;;;;;;;x
DESCXYLO.02132;Bandits left [From.Location.GetName]. The province had become too poor for them haha !;Les malandrins ont fini par quitter [From.Location.GetName].\n A croire qu'à force de pillages et vols, la province est devenue trop pauvre pour eux...;;;;;;;;;;;;x
XYLO.02132A;Well, for us either sadly...;Elle n'en est pas moins pauvre pour nous...;;;;;;;;;;;;x
XYLO.0214;;x;;;;;;;;;;;;x
DESCXYLO.0214;The bandits network of [From.Location.GetName] is now lead by a famous hoodlum ! ;Le réseau de bandits qui terrorisent la région de [From.Location.GetName] est paraît-il mené par un chef et s'est même construit une base d'où organiser son petit commerce et mener ses exactions. Il va falloir l'en déloger !;;;;;;;;;;;;x
XYLO.0214A;Damn !;Enfer et damnation !!;;;;;;;;;;;;x
creation_bandit;A bandit leader appears in the province\n;Un meneur de bandits apparait dans la province\n;;;;;;;;;;;x
#XYLO.0216;;le chef des bandits reçoit un surnom;;;;;;;;;;;;x
#DESCXYLO.0216;unused anymore;Comme tout bon criminel, je me dois de porter un nom à la mesure de ma réputation !;;;;;;;;;;;;x
XYLO.02171;;;;;;;;;;;;;;x
DESCXYLO.02171;;;;;;;;;;;;;;x
XYLO.02171A;;;;;;;;;;;;;;x
DESCXYLO.02172;[From.Location.GetName] is now free from bandits' rule but will need time to recover.;Le propriétaire du Repaire de bandits ayant définitevement quitté les lieux, la province de [From.Location.GetName] va pouvoir se remettre de cette dure et éprouvante période pour sa population et son économie. Selon l'ampleur des dégâts, cela peut prendre quelques années avant un retour total à la normale.;;;;;;;;;;;;x
XYLO.02172A;It is already a relief for us all !;C'est un déjà soulagement pour tous !;;;;;;;;;;;;x
la_province_se_remet;Province recovers;La province se remet;;;;;;;;;;;;x
la_province_se_remet_desc;Province recovers from bandits' rule;Après une occupation prolongée par un chef bandit et les méfaits qu'il a fait subir à cette province, il faut du temps pour que son économie se redresse.;;;;;;;;;;;;x
;;x;;;;;;;;;;;;x
#recoit_un_sobriquet;;Le personnage reçoit un surnom.;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
#;;MUSHROOM HUNT;;;;;;;;;;;;x
#;x;;;;;;;;;;;;;x
XYLO.0111;x;DECOUVERTE;;;;;;;;;;;;x
DESCXYLO.0111;x;Au détour d'un chemin, nous apercevons dans un recoin ombragé une masse sombre dont la forme rappelle celle d'un champignon mais... d'une taille plutôt conséquente qui attire le regard.\n Que décidons-nous ?;;;;;;;;;;;;x
XYLO.0111A;x;Je suis là pour chasser ! ;;;;;;;;;;;;x
XYLO.0111B;x;Allons voir de plus près...;;;;;;;;;;;;x
XYLO.01121;x;Approach and identify 1;;;;;;;;;;;;x
DESCXYLO.01121;x;De plus près, il s'agit effectivement d'un champignon. Qui plus est d'une espèce plutôt bien connue : un Bolet. Mais celui-ci mesure plus de deux coudées... une taille des plus surprenantes.\n Allons-nous céder à la tentation ou retourner à notre occupation première, à savoir la chasse ?;;;;;;;;;;;;x
XYLO.01121A;x;Vaut mieux le laisser ici...;;;;;;;;;;;;x
XYLO.01121B;x;Cueillons-le ! ;;;;;;;;;;;;x
XYLO.01122;x;Approach and identify 2;;;;;;;;;;;;x
DESCXYLO.01122;x;Eh bien voici probablement la plus énorme chanterelle jamais vue ! De la taille d'un chien de chasse par sa hauteur, l'on peine à l'enlacer par des bras d'homme, ce spécimen est des plus étonnants !  Allons-nous céder à notre curiosité et cueillir ce beau morceau ? ;;;;;;;;;;;;;x
XYLO.01122A;x;Cela ne me dit rien qui vaille... ;;;;;;;;;;;;x
XYLO.01122B;x;Cueillons-la ! ;;;;;;;;;;;;x
XYLO.01123;x;Approach and identify 3;;;;;;;;;;;;x
DESCXYLO.01123;Comme suspecté, il s'agit bel et bien d'un champignon... mais d'un genre assez bizarre voire inconnu. Arrivant à hauteur du poitrail de mon cheval, un chapeau plutôt plat, d'un vert légèrement luisant et dégageant une suave odeur anisée... \n Allons-nous l'emporter ? ;;;;;;;;;;;;;x
XYLO.01123A;x;Passons notre chemin plutôt;;;;;;;;;;;;x
XYLO.01123B;x;Cueillons ce trophée ! ;;;;;;;;;;;;x
XYLO.0113;x;et maintenant ?;;;;;;;;;;;;x
DESCXYLO.0113;x;Nous sommes à présent en possession l'encombrant champignon aux dimensions hors normes.\n Reste à savoir ce que nous voulons en faire... ;;;;;;;;;;;;x
XYLO.0113A;x;L'emmener. Mon soigneur l'examinera.;;;;;;;;;;;;x
XYLO.0113B;x;Rapportons notre trouvaille à nos cuisiniers pour le souper ! ;;;;;;;;;;;;x
XYLO.0113C;x;Donnez-en à manger mon cheval.;;;;;;;;;;;;x
XYLO.0113D;x;Je connais un ermite qui vit non loin. Je vais aller le lui montrer.;;;;;;;;;;;;x
XYLO.01131;x;;;;;;;;;;;;;x
DESCXYLO.01131;x;;;;;;;;;;;;;x
XYLO.01131A;x;;;;;;;;;;;;;x
XYLO.01131B;x;;;;;;;;;;;;;x
XYLO.01131C;x;;;;;;;;;;;;;x
XYLO.01132;x;;;;;;;;;;;;;x
DESCXYLO.01132;x;;;;;;;;;;;;;x
XYLO.01132A;x;;;;;;;;;;;;;x
intoxication_champignon;x;;;;;;;;;;;;;x
intoxication_champignon_desc;x;;;;;;;;;;;;;x
death_intoxication;x;;;;;;;;;;;;;x
death_intoxication_desc;x;;;;;;;;;;;;;x
XYLO.01133;x;;;;;;;;;;;;;x
DESCXYLO.01133;x;;;;;;;;;;;;;x
XYLO.01133A;x;;;;;;;;;;;;;x
XYLO.01134;x;;;;;;;;;;;;;x
XYLO.01141;x;;;;;;;;;;;;;x
XYLO.01142;x;;;;;;;;;;;;;x
XYLO.01143;x;;;;;;;;;;;;;x
XYLO.01151;x;;;;;;;;;;;;;x
XYLO.01152;x;;;;;;;;;;;;;x
XYLO.01153;x;;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
