#;;x;;;;;;;;;;;;x
#;;MINOR TITLES;;;;;;;;;;;;x
#title_parlier;Parlier;Parlier;;;;;;;;;;;;x
#title_parlier_desc;The construction of a cathedral attracts workers from throughout the Western world, but not all share the same language. This is where the Parlier comes in, who coordinates everyone's skills to ensure the smooth running of the site. This makes him an essential character to carry out such a project.;Le chantier d'une cathédrale attire des ouvriers de tout le monde occidental mais tous ne partagent donc pas la même langue. C'est là qu'intervient le Parlier, qui se charge de coordonner les compétences de chacun pour assurer le bon déroulement du chantier. Cela en fait donc un personnage incontournable pour mener à bien un tel projet.;;;;;;;;;;;;x
title_batisseur;Builder Master;Maître Bâtisseur;;;;;;;;;;;;x
title_soigneur_desc;Court Physician;Soigneur de la cour;;;;;;;;;;;;x
title_sorciere_presumee;Accused of Witchcraft;Accusée de Sorcelerie;;;;;;;;;;;;x
title_sorciere_presumee_desc;This a good way of obtaining revenge on a loathed vassal or getting even with a spiteful courtier. Just hope she isn't a real witch and casts a curse…;Voilà un bon moyen de vous venger de cette courtisane ou vassale qui a osé vous faire offense. Espérons simplement qu'elle ne soit pas réellement une sorcière et ne vous jette une malédiction...;;;;;;;;;;;;x
title_councilmember_muslim;Mufti;Mufti;Mufti;;Mufti;;;;;;;;;x
title_councilmember_muslim_desc;The Mufti is a respected member of the realm's council and is responsible for giving sound advice mostly on religious matters that the ruler has to deal with.;Le Mufti est un membre respecté du Conseil et sa responsabilité est de donner des conseils au dirigeant principalement sur les sujets d'ordre religieux qu'il devra traiter.;Der Mufti ist ein respektiertes Mitglied des Rates und hat die Aufgabe, dem Herrscher in allen Fragen beratend zur Seite zu stehen.;;El Mufti es un miembro respetado del consejo del Reino y es responsable de dar consejos sensatos sobre cualquier cuestión con la que el gobernante tenga que lidiar.;;;;;;;;;x
#;;x;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
#;;TRAITS;;;;;;;;;;;;x
batisseur_cathedrale;Cathedral builder;Maître d'ouvrage d'une cathédrale;;;;;;;;;;;;x
batisseur_cathedrale_desc;This character is involved into a serious construction project : building a cathedral in his capital. He strated such after discovering a holy relic and offered it to the future cathedral.;Ce personnage s'est lancé dans la construction d'une cathédrale suite à la découverte d'une sainte relique afin que les fidèles puissent la vénérer dans une somptueuse maison de Dieu.;;;;;;;;;;;;x
#batisseur_peu_scrupuleux;Unscrupulous Cathedral builder ;Batisseur peu scrupuleux de cathédrale;;;;;;;;;;;;x
#batisseur_peu_scrupuleux_desc;This character has embarked on the construction of a cathedral after falsifying a relic;Ce personnage s'est lancé dans la construction d'une cathédrale suite à la falsification d'une relique;;;;;;;;;;;;x
saint;Saint;Saint;;Sankt;Santo;;;;;;;;;x
saint_desc;This character is a Saint in one of the Christian denominations due to acts on Earth that have caused them to be recognised as a Saint in Heaven.;Ce personnage est un considéré comme Saint parmi les Chrétiens. De part ces actes durant sa vie sur Terre, il pourra dès lors être considéré comme Saint au Paradis.;;;;;;;;;;;;x
dynastic_keeper;Dynastic keeper;Conservation de biens dynastiques;;;;;;;;;;;;x
dynastic_keeper_desc;This character is the keeper in his castle common and precious goods of his dynasty. \nHis §Ylibrary§! contains records of the family genealogy and the §Ylordly chapel§! hosts a dynastic reliquary. \nIn this quality of guardian, he is respected by the members of his dynasty and among his vassals.;Ce personnage conserve dans son château des biens communs et précieux de sa dynastie. \nSa §Ybibliothèque§! contient des registres consignant la généalogie familiale et la §Ychapelle seigneuriale§! accueille un reliquaire dynastique. \nEn cette qualité de gardien, il est respecté par les membres de sa dynastie et parmi ses vassaux. ;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
apprenti_sculpteur;Apprentice Scultor;Apprenti sculpteur;;;;;;;;;;;;x
apprenti_sculpteur_desc;This sculptor is an apprentice. He was placed from a childhood at a master's to learn the job.\nHe must execute a masterpiece in order to gain mastery and to marry.;Ce sculpteur est un apprenti. Il a été placé dès l'enfance chez un maître pour apprendre le métier.\nIl doit exécuter un chef d'oeuvre pour pouvoir accèder à la maîtrise et se marrier.;;;;;;;;;;;;x
compagnon_sculpteur;Journeyman Sculptor;Compagnon sculpteur;;;;;;;;;;;;x
compagnon_sculpteur_desc;This sculptor, although having completed his apprenticeship, continues to work for a master because he has not enough money to become one.;Ce sculpteur bien qu'ayant terminé son apprentissage continue de travailler pour un maître faute d'argent.\nOn dit que c'est un compagnon mais on trouve aussi les désignations valet ou garçon.\nAu fil du Moyen Age, la maîtrise devient hériditaire, les enfants de maître sont exemptés d'apprentissage, de chef d'oeuvre ou de droit d'entrée.;;;;;;;;;;;;x
maitre_sculpteur;Master Sculptor;Maître sculpteur;;;;;;;;;;;;x
maitre_sculpteur_desc;This recognized sculptor has paid an entrance fee to the trade and takes an oath to the regulations of his trade.\nIt can practice, hire companions and train apprentices that he lodges and fed.;Ce sculpteur reconnu a versé un droit d'entrée dans le métier et préter serment aux réglements de son métier.\nIl peut exercer, embaucher des compagnons et former des apprentis qu'il loge et nourri.;;;;;;;;;;;;x
nick_le_sculpteur;The Sculptor;Le sculpteur;;;;;;;;;;;;x
apprenti_fresquiste;Apprentice Painter;Apprenti fresquiste;;;;;;;;;;;;x
apprenti_fresquiste_desc;This painter is an apprentice. He was placed from a childhood at a master's to learn the job.\nHe must execute a masterpiece in order to gain mastery and to marry.;Ce fresquiste est un apprenti. Il a été placé dès l'enfance chez un maître pour apprendre le métier.\nIl doit exécuter un chef d'oeuvre pour pouvoir accèder à la maîtrise et se marrier.;;;;;;;;;;;;x
compagnon_fresquiste;Journeyman Painter;Compagnon fresquiste;;;;;;;;;;;;x
compagnon_fresquiste_desc;This painter, although having completed his apprenticeship, continues to work for a master because he has not enough money to become one.;Ce fresquiste bien qu'ayant terminé son apprentissage continue de travailler pour un maître faute d'argent.\nOn dit que c'est un compagnon mais on trouve aussi les désignations valet ou garçon.\nAu fil du Moyen Age, la maîtrise devient hériditaire, les enfants de maître sont exemptés d'apprentissage, de chef d'oeuvre ou de droit d'entrée.;;;;;;;;;;;;x
maitre_fresquiste;Master Painter;Maître fresquiste;;;;;;;;;;;;x
maitre_fresquiste_desc;This recognized painter has paid an entrance fee to the trade and takes an oath to the regulations of his trade.\nIt can practice, hire companions and train apprentices that he lodges and fed.;Ce fresquiste reconnu a versé un droit d'entrée dans le métier et préter serment aux réglements de son métier.\nIl peut exercer, embaucher des compagnons et former des apprentis qu'il loge et nourri.;;;;;;;;;;;;x
nick_le_fresquiste;the Painter;Le fresquiste;;;;;;;;;;;;x
apprenti_verrier;Apprentice Glass maker;Apprenti verrier;;;;;;;;;;;;x
apprenti_verrier_desc;This glass maker is an apprentice. He was placed from a childhood at a master's to learn the job.\nHe must execute a masterpiece in order to gain mastery and to marry.;Ce verrier est un apprenti. Il a été placé dès l'enfance chez un maître pour apprendre le métier.\nIl doit exécuter un chef d'oeuvre pour pouvoir accèder à la maîtrise et se marrier.;;;;;;;;;;;;x
compagnon_verrier;Journeyman Glass maker;Compagnon verrier;;;;;;;;;;;;x
compagnon_verrier_desc;This glass maker, although having completed his apprenticeship, continues to work for a master because he has not enough money to become one.;Ce verrier bien qu'ayant terminé son apprentissage continue de travailler pour un maître faute d'argent.\nOn dit que c'est un compagnon mais on trouve aussi les désignations valet ou garçon.\nAu fil du Moyen Age, la maîtrise devient hériditaire, les enfants de maître sont exemptés d'apprentissage, de chef d'oeuvre ou de droit d'entrée.;;;;;;;;;;;;x
maitre_verrier;Master Glass maker;Maître verrier;;;;;;;;;;;;x
maitre_verrier_desc;This recognized glass maker has paid an entrance fee to the trade and takes an oath to the regulations of his trade.\nIt can practice, hire companions and train apprentices that he lodges and fed.;Ce verrier reconnu a versé un droit d'entrée dans le métier et préter serment aux réglements de son métier.\nIl peut exercer, embaucher des compagnons et former des apprentis qu'il loge et nourri.;;;;;;;;;;;;x
nick_le_verrier;the Glass maker;Le verrier;;;;;;;;;;;;x
nick_the_inquisitor_homme;the Inquisitor;l'Inquisiteur;;;;;;;;;;;;x
nick_the_inquisitor_femme;the Inquisitor;l'Inquisitrise;;;;;;;;;;;;x
nick_the_punisher_homme;the Punisher;le Punisseur;;;;;;;;;;;;x
nick_the_punisher_femme;the Punisher;la Punisseuse;;;;;;;;;;;;x
nick_the_crucified_homme;the Crucified;le Crucifié;;;;;;;;;;;;x
nick_the_crucified_femme;the Crucified;la Crucifiée;;;;;;;;;;;;x
nick_the_martyr_homme;the Martyr;le Martyr;;;;;;;;;;;;x
nick_the_martyr_femme;the Martyr;la Martyre;;;;;;;;;;;;x
deus_gladio;Sword of God;Epée de Dieu;;;;;;;;;;;;x
deus_gladio_desc;This character's sword served many times the plans of God.;Ce personnage a été à maintes reprises le bras armé de Dieu.;;;;;;;;;;;;x
deus_vox;Voice of God;Voix de Dieu;;;;;;;;;;;;x
deus_vox_desc;This character heard and spread the word of God among Mens.;Ce personnage a entendu et répandu la parole de Dieu parmi les Hommes.;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
#;;NICKNAMES;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
nick_larpenteur;the Surveyor;l'Arpenteur;;;;;;;;;;;;x
nick_larpenteuse;the Surveyor;l'Arpenteuse;;;;;;;;;;;;x
nick_le_cartographe;the Cartographer;le Cartographe;;;;;;;;;;;;x
nick_la_cartographe;the Cartographer;la Cartographe;;;;;;;;;;;;x
