loi_forestiere_L1_desc;Par la promulgation de la présente, j'octroie les droits suivants : \n-bla \n-bla \n-bla;Par la promulgation de la présente, j'édicte les règles suivantes : \n-droit de pâture : agistment pannage des porcs \n-se déplacer librement accompagné de chiens à condition qu'ils aient été privés de leur griffes pour ne point chasser \n-toute chasse est INTERDITE \n-la déforestation est INTERDITE;;;;;;;;;;;;x
loi_forestiere_L2;Forest charter;Charte Forestière;;;;;;;;;;;;x
loi_forestiere_L2_desc;Par la promulgation de la présente, j'octroie les droits suivants : \n-bla \n-bla \n-bla mais en mieux;Par la promulgation de la présente, j'édicte les règles suivantes : \n-droit de pâture : agistment et pannage des porcs \n-est autorisée la chasse du petit gibier nuisible : lapin, lièvre et renard \n-le prélèvement de petit bois est autorisé \n-la coupe d'arbres est INTERDITE;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
foret_hantee;Haunted Forest;Forêt Hantée !;;;;;;;;;;;;x
foret_hantee_desc;Haunted Forest;Forêt Hantée !;;;;;;;;;;;;x
foret_maudite;Cursed Forest;Forêt Maudite !;;;;;;;;;;;;x
foret_maudite_desc;Cursed Forest;Forêt Maudite !;;;;;;;;;;;;x
foret_malfamee;Bandit's Lair;Nid de Bandits;;;;;;;;;;;;x
foret_malfamee_desc;Bandit's Lair;Nid de Bandits;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
title_master_of_the_hunt;Master of the Hunt;Maître de Chasse;Jägermeister;;Maestro de caza;;;;;;;;;x
title_master_of_the_hunt_desc;In an era when hunting was an opportunity to demonstrate horsemanship and martial prowess the hunt was serious business. The master of the hunt was a position of importance.;La chasse permet d’afficher ses talents de cavalier et de guerrier, et jouit d’une grande popularité. Maître de chasse est un titre important.;In einem Zeitalter, in dem Jagen als Möglichkeit galt, die eigene Reit- und Kriegskunst unter Beweis zu stellen, war die Jagd ein ernsthaftes Geschäft. Demnach war das Amt des Jägermeisters sehr wichtig.;;En una época en la que cazar era una oportunidad de demostrar las habilidades marciales y de equitación, la caza era algo serio. Así pues, ser maestro de caza era un cargo importante.;;;;;;;;;x
#;;x;;;;;;;;;;;;x
title_forestier;Forester;Forestier;;;;;;;;;;;;x
title_forestier_desc;The hideous leather boots and characteristic aromas of earth and dead leaves are definitely not the makings of man of the court.\nHowever, they do tell of a good hunting companion, capable of relaying our authority and ensuring the proper management of our woodland dominions.;Ces hideuses bottes de cuir et son fumet caractéristique de terre et de feuilles mortes n'en font définitivement pas un homme de la cour.\nCependant, c'est sur lui que repose la gestion de nos domaines boisés. Il a également charge de relayer notre autorité sur ces territoires.;;;;;;;;;;;;x
title_veneur;Great Master of the Hunt;Grand Veneur;Jägermeister;;Maestro de caza;;;;;;;;;x
title_veneur_desc;The holder of this office is a professional and passionate hunter, not fundamentally a courtier but a very valuable hunting companion.;L'homme en charge de cet office est un professionnel et passioné de la chasse, pas foncièrement un homme de cour mais un très appréciable compagnon pour de longues parties de chasse.;;;;;;;;;;;;x
title_soigneur;Court healer;Soigneur de la cour;;;;;;;;;;;;x
title_soigneur_desc;Court healer;Soigneur de la cour;;;;;;;;;;;;x
title_sorciere_presumee;Accused of Witchcraft;Accusée de Sorcelerie;;;;;;;;;;;;x
title_sorciere_presumee_desc;This a good way of obtaining revenge on a loathed vassal or getting even with a spiteful courtesan. Just hope she isn't a real witch and casts a curse…;Voilà un bon moyen de vous venger de cette courtisane ou vassale qui a osé vous faire offense. Espérons simplement qu'elle ne soit pas réellement une sorcière et ne vous jette une malédiction...;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
nobuilding;by Event only;Seulement par évènement.;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
#;;BATIMENTS XYLO;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
CA_chasse_L1;Hunting Lodge;Loge de Chasse;;;;;;;;;;;;x
CA_chasse_L1_desc;;Il s'agit ici d'une grande cabane en bois permettant de s'abriter et de se retrouver lors de campagnes de chasse qui durent quelques jours.;;;;;;;;;;;;x
CA_chasse_L2;Hunting Manor;Logis de Chasse;;;;;;;;;;;;x
CA_chasse_L2_desc;;Ce refuge offre un plus grand confort et une capacité d'hébergement plus importante. Il a l'avantage aussi d'être à l'abri des regards indiscrets de la cour...;;;;;;;;;;;;x
CA_chasse_L3;Hunting Manor;Manoir de Chasse;;;;;;;;;;;;x
CA_chasse_L3_desc;;Avec ces airs de maison forte, cet pied-à-terre forestier offre tout le confort d'un château pour donner des banquets et recevoir nos hôtes de marque lors de longues parties de chasse.;;;;;;;;;;;;x
TP_herboriste_L1;Herbalist;Herboriste;;;;;;;;;;;;x
TP_herboriste_L1_desc;;L'herboriste récolte dans les alentours et cultive des plantes médicinales. Un savoir fort apprécié et des plus utiles quand la maladie survient.;;;;;;;;;;;;x
TP_herboriste_L2;Aphoticary;Apothicaire;;;;;;;;;;;;x
TP_herboriste_L2_desc;;L'Apothicaire fabrique toute sorte de soins et remèdes tant pour soigner des infections que des blessures. Sa présence dans cette contrée rassure et protège la populace.;;;;;;;;;;;;x
TP_oratoire_sylvestre;Sylvan Oratory;Oratoire Sylvestre;;;;;;;;;;;;x
TP_oratoire_sylvestre_desc;;Ce lieu de culte perdu au milieu de la sérénité des bois sert de lieu de prière et de recueillement pour les pélérins de passage par chez nous ou les pécheurs en quête d'apaisement pour leur âme.;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
#;;BATIMENTS BANDITS;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
REPAIREVOLEUR;BRIGANTS LAIR;REPAIRE DE BRIGANDS;;;;;;;;;;;;x
REPAIREVOLEUR_desc;;Les bandits de cette province sont suffisamment bien implantés et organisés et ont même contruit un repaire aux yeux de tous. Intolérable !;;;;;;;;;;;;x
repaire_voleur_L1;Brigand's lair L1;Cache de brigands ;;;;;;;;;;;;x
repaire_voleur_L1_desc;;Cette cache permet d'entreposer les résultats des forfaiteries commises par les gredins. ;;;;;;;;;;;;x
repaire_voleur_L2;Brigand's lair L2;Repaire de brigands;;;;;;;;;;;;x
repaire_voleur_L2_desc;;La cache a disparu et perdu de sa clandestinité pour laisser place à un endroit qu'il est impossible d'ignorer. Le pire est à craindre.;;;;;;;;;;;;x
repaire_voleur_L3;Brigand's lair L3;Maison forte de brigands;;;;;;;;;;;;x
repaire_voleur_L3_desc;;L'expansion du banditisme dans la province a permis d'étendre et fortifier plus stratégiquement le repaire. Déloger ces occupants rique de s'avérer ardu...;;;;;;;;;;;;x
repaire_voleur_L4;Brigand's lair L4;Guilde de brigands;;Au vu et au su de tous, c'est un rassemblement corporatif qui s'étale maintenant. Les coffres remplis de denrées et autres butins rapinés débordent.;;;;;;;;;;x
repaire_voleur_L4_desc;;;;;;;;;;;;;;x
repaire_voleur_L5;Brigand's lair L5;Fortin de brigands;;;;;;;;;;;;x
repaire_voleur_L5_desc;;Le mélange parfait entre lieu de stockage et place défensive. Un trône volé y accueille le chef de la bande qui y mène sa "cour" singeant par là même les nobles détroussés.;;;;;;;;;;;;x
#fort_brigands_L1;;Palissade;;;;;;;;;;;;x
#fort_brigands_L1_desc;;Cette ligne de pieux plantés verticalement est parfaite pour stopper des petites attaques surprises.;;;;;;;;;;;;x
#fort_brigands_L2;;Rideau de pierre;;;;;;;;;;;;x
#fort_brigands_L2_desc;Le bois a laissé place à la pierre et donne aux malandrins un sentiment de sécurité confortable.;;;;;;;;;;;;;x
#fort_brigands_L3;;Hauts murs;;;;;;;;;;;;x
#fort_brigands_L3_desc;;Qui oserait maintenant partir à l'assaut de tels murs où patrouillent des coquins sûrs de leur invincibilité.;;;;;;;;;;;;x
caserne_brigands_L1;Brigand's barrack L1;Abri des malandrins;;;;;;;;;;;;x
caserne_brigands_L1_desc;;C'est ici que se reposent et s'entraînent les ennemis de la justice seigneuriale.;;;;;;;;;;;;x
caserne_brigands_L2;Brigand's barrack L2;Gîte des malandrins;;;;;;;;;;;;x
caserne_brigands_L2_desc;;Un lieu où sont posées les paillasses et les armes des brigands.;;;;;;;;;;;;x
caserne_brigands_L3;Brigand's barrack L3;Caserne des malandrins;;;;;;;;;;;;x
caserne_brigands_L3_desc;;Ici dorment et s'entraînent les bandits au milieu de piles d'armes volées.;;;;;;;;;;;;x
reseau_provincial_L1;Underground trade L1;Commerce parallèle naissant;;;;;;;;;;;;x
reseau_provincial_L1_desc;;Toute organisation criminelle se doit d'établir un réseau de receleurs et autres contrebandiers.;;;;;;;;;;;;x
reseau_provincial_L2;Underground trade L2;Commerce parallèle organisé;;;;;;;;;;;;x
reseau_provincial_L2_desc;;On peut trouver partout dans la province de fort belles marchandises préalablement subtilisées.;;;;;;;;;;;;x
reseau_provincial_L3;Underground trade L3;Commerce parallèle efficace;;;;;;;;;;;;x
reseau_provincial_L3_desc;;L'efficacité du commerce souterrain est surprenante : marchandises moins chères que sur le marché et parfois de meilleure qualité, les bourgeois en raffolent ! ;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
#;;NICKNAMES BANDITS;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
nick_lecureuil_noir;the black Squirrel;l'Ecureuil Noir;;;;;;;;;;;;x
nick_le_hideux;;le Hideux;;;;;;;;;;;;x
nick_lecorcheur;;l'Écorcheur;;;;;;;;;;;;x
nick_linvincible;;l'Invincible;;;;;;;;;;;;x
nick_le_terrible;the Terrible;le Terrible;;;;;;;;;;;;x
nick_le_nigaud;;le Nigaud;;;;;;;;;;;;x
nick_le_sauvage;the Savage;le Sauvage;;;;;;;;;;;;x
nick_le_ruse;;le Rusé;;;;;;;;;;;;x
nick_le_sordide;;le Sordide;;;;;;;;;;;;x
nick_le_jeune_loup;the Young Wolf;le Jeune Loup;;;;;;;;;;;;x
nick_le_fourbe;;le Fourbe;;;;;;;;;;;;x
nick_le_renard;the Fox;le Renard;;;;;;;;;;;;x
nick_le_redoutable;;le Redoutable;;;;;;;;;;;;x
nick_lindomptable;;l'Indomptable;;;;;;;;;;;;x
nick_le_gueux;;le Gueux;;;;;;;;;;;;x
nick_ventrelievre;;Ventre-lièvre;;;;;;;;;;;;x
nick_la_vipere;the Viper;la Vipère;;;;;;;;;;;;x
nick_la_charmeuse;;la Charmeuse;;;;;;;;;;;;x
nick_la_maline;;la Maline;;;;;;;;;;;;x
nick_la_terrible;the Terrible;la Terrible;;;;;;;;;;;;x
nick_la_rusée;;la Rusée;;;;;;;;;;;;x
nick_la_nigaude;;la Nigaude;;;;;;;;;;;;x
nick_la_sordide;;la Sordide;;;;;;;;;;;;x
nick_la_fourbe;;la Fourbe;;;;;;;;;;;;x
nick_la_renarde;the fox;la Renarde;;;;;;;;;;;;x
nick_la_jeune_louve;the wolf;la Louve;;;;;;;;;;;;x
nick_la_ribaude;;la Ribaude;;;;;;;;;;;;x
nick_la_redoutable;;la Redoutable;;;;;;;;;;;;x
nick_la_sauvage;the Savage;la Sauvage;;;;;;;;;;;;x
nick_la_terreur;;la Terreur;;;;;;;;;;;;x
nick_la_belette;;la Belette;;;;;;;;;;;;x
nick_crocs_dargent;;Crocs-d'argent;;;;;;;;;;;;x
nick_patte_de_lievre;;Patte de Lièvre;;;;;;;;;;;;x
nick_bonne_fortune;;Bonne Fortune;;;;;;;;;;;;x
nick_oeil_de_serpent;Snake-eye;Œil de Serpent;;;;;;;;;;;;x
nick_brave_la_mort;Brave-la-Mort;Brave-la-Mort;;;;;;;;;;;;x
nick_oeil_de_lynx;;Œil de Lynx;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
