CODE;ENGLISH;FRENCH;;;;;;;;;;;;x
agriculture4_pain _desc;If bread is a common enough produce, not all regions have a surplus to sell at trade fairs and markets as is the case in this province.;Si le pain est un produit assez commun, toutes les régions ne disposent de surplus à vendre ou échanger sur les foires et marchés comme c'est le cas dans cette province.;;;;;;;;;;;;x
elevage1;Pastoral region;Région Pastorale;;;;;;;;;;;;x
elevage1_desc;By clearance efforts, this area has many green meadows quite suitable for breeding.;A force d'essartage, la région compte de nombreuses prairies verdoyantes tout à fait propices à l'élevage.;;;;;;;;;;;;x
elevage2_laine;WOOL production;Production de LAINE;;;;;;;;;;;;x
elevage2_laine_desc;Husbandry prospers in the province and providing it with beautiful wool that will make a stir at the annual fair.;L'élevage prospère dans la province et fournit une belle laine qui fera un malheur à la foire annuelle.;;;;;;;;;;;;x
elevage2_boeuf;Herding : CATTLE;Élevage : BETAIL;;;;;;;;;;;;x
elevage2_boeuf_desc;Husbandry prospers in the province providing it with fine cattle useful in the field and, of course, as meat;L'élevage prospère dans la province et fournit du bon bétail utile tant aux travaux des champs, tant à la production de viande.;;;;;;;;;;;;x
elevage2_fromage;CHEESE production;Production de FROMAGE;;;;;;;;;;;;x
elevage2_fromage_desc;Husbandry prospers in the province providing it through its abundant output: milk, cheeses and other fostered dairy delights.;L'élevage prospère dans la province et fournit grâce à son abondante production de lait, fromages et autres délices laitiers nourriciers.;;;;;;;;;;;;x
elevage4_drap;Breeding : DRAP;Elevage : DRAP;;;;;;;;;;;;x
elevage4_drap_desc;;;;;;;;;;;;;;x
elevage3_viande;Breeding : MEAT;Elevage : VIANDE;;;;;;;;;;;;x
elevage3_viande_desc;;;;;;;;;;;;;;x
elevage3_etoffe;Breeding : RICH-MEAT;Elevage : ETOFFE;;;;;;;;;;;;x
elevage3_etoffe_desc;;;;;;;;;;;;;;x
elevage3_cuir;Breeding : LEATHER;Elevage : CUIR;;;;;;;;;;;;x
elevage3_cuir_desc;;;;;;;;;;;;;;x
elevage2_cheval;Elevage : HORSE;Elevage : CHEVAL;;;;;;;;;;;;x
elevage2_cheval_desc;;;;;;;;;;;;;;x
foret1;Forests demesne;Domaine Forestier;;;;;;;;;;;;x
foret1_desc;This province is abound with beautiful woodlands. Hiring a §YForester§! is needed to manage and ensure its security.;La province abonde de belles forêts. Engager un §YForestier§! est indispensable pour en assurer la gestion et la sécurité.;;;;;;;;;;;;x
foret2_bois;WOOD;Exploitation Forestière : BOIS;;;;;;;;;;;;x
foret2_bois_desc;The high calibre of the trees here permits production of wood that later can be converted for use in construction or the manufacture of other products.;Le gros calibre des arbres permet ici de produire du bois qui pourra être transformé pour servir à la construction ou à la fabrication d'objets divers.;Le gros calibre des arbres permet ici de produire du bois qui pourra être transformé pour servir à la construction ou à la fabrication d'objets divers.;;;;;;;;;;;x
foret2_charbon;CHARCOAL;Exploitation Forestière : CHARBON;;;;;;;;;;;;x
foret2_charbon_desc;The most small trees and shrubs are turned into forest charcoal, a effective combustible notably used in glass-making and the making of metal;Les plus petits arbres et taillis sont ici transformés en charbon de bois, un combustible efficace utilisé notamment pour la fabrication du verre ou la fonte de métal.;;;;;;;;;;;;x
foret2_chasse;Hunting Demesne;Domaine de Chasse;;;;;;;;;;;;x
foret2_chasse_desc;The game in these lands are reserved soley for the private use of the lord for hunting. The exploitation of other resources is permitted but poaching will be severely punished.;Il s'agit là des terres réservées à l'usage privé du seigneur pour la pratique de la chasse. L'exploitation des autres ressources y est limité et tout braconnage sera durement réprimé.;;;;;;;;;;;;x
foret2_holy;Sanctuary Forest;Forêt Sanctuarisée;;;;;;;;;;;;x
foret2_holy_desc;Although part in either shelter or sanctuary to places of worship, the majority of resources are left to free disposal of the people and smallholders.;La plus grande partie de ces forêts a étét sanctuarisée pour y abriter des lieux d'ermitage ou de retraite spirituelle, l'accès aux ressources pour les populations y est limité.;;;;;;;;;;;;x
foret2_expl;Exploited forest;Forêt exploitée;;;;;;;;;;;;x
foret2_expl_desc;Exploited forest;Forêt exploitée;;;;;;;;;;;;x
foret3_planche;LUMBER;BOIS : planches;;;;;;;;;;;;x
foret3_planche_desc;;;;;;;;;;;;;;x
foret3_verre;GLASS;VERRE;;;;;;;;;;;;x
foret3_verre_desc;These woods have much needed combustible material, a number of glass-makers have been pulled in by the abundant forests;Le bois abondant fournit le combustible à nombre de verriers qui pulullent dans les forêts.;;;;;;;;;;;;x
pierre1;Stone Deposits;Gisements de Pierre;;;;;;;;;;;;x
pierre1_desc;Rocky characteristics of the region, presents good potential to supply stone, wither used for simple filling or cut into blocks to serve in construction.;Le caractère rocheux de la région, présente un bon potentiel pour fournir de la pierre, qu'il s'agisse de simple remblai ou de blocs de pierres à tailler pour servir à la construction.;;;;;;;;;;;;x
pierre2_pierre_brute;Extraction of STONE;Extraction de PIERRE;;;;;;;;;;;;x
pierre2_pierre_brute_desc;The stone extracted here supply the stone-masons of the region.;La roche extraite ici fournira les tailleurs de pierre de la région.;;;;;;;;;;;;x
pierre3_pierre_taille;Worked Stone;PIERRE de taille;;;;;;;;;;;;x
pierre3_pierre_taille_desc;blup blup blup !;blup blup blup ! ;;;;;;;;;;;;x
minerai1;Mineral Deposit;Gisement Minéral;;;;;;;;;;;;x
minerai1_desc;The sub-soil holds a high concentration of various mineral veins. It might be time to begin more serious exploitation.;Le sous-sol présente ici une concentration supérieure en filons de différents minéraux. Il serait peut être temps d'en commencer une exploitation plus rationnelle.;;;;;;;;;;;;x
minerai2_fer;ORE Extraction;Extraction de MINERAI;;;;;;;;;;;;x
minerai2_fer_desc;Here the mines exploit the mineral riches of the sub-soil and smelted into various metals from the ore.;Les mines exploitent ici les richesses minérales du sous-sol et fournissent du minerai de différents métaux.;;;;;;;;;;;;x
minerai2_sel_gemme;Salt extraction;Extraction de SEL;;;;;;;;;;;;x
minerai2_sel_gemme_desc;Here the mines exploit the mineral riches of the sub-soil and supply salt crystals of beauty;Les richesses minérales du sous-sol sont ici exploitées et fournissent de belles gemmes de sel.;;;;;;;;;;;;x
minerai3_metal;METAL;METAL;;;;;;;;;;;;x
minerai3_metal_desc;The mineral riches of the subsoil combined with artisan know-how permits abundant production of quality metal, the provision burgeoning local commerce..;Les richesses minérales du sous-sol combinées au savoir faire des artisans permet une production abondante de métal de qualité, objet d'un commerce local foisonnant.;;;;;;;;;;;;x
minerai2_cuivre;COPPER;CUIVRE;;;;;;;;;;;;x
minerai2_cuivre_desc;;;;;;;;;;;;;;x
minerai2_or;GOLD;OR;;;;;;;;;;;;x
minerai2_or_desc;;;;;;;;;;;;;;x
minerai3_sel_raffine;refined SALT;SEL raffiné;;;;;;;;;;;;x
minerai3_sel_raffine_desc;The crude salt harvested around here is refined for many different usages.;Le sel brut récolté aux alentours est ici raffiné pour être utilisé pour nombre d'usages.;;;;;;;;;;;;x
minerai4_outils;OUTILS en métal;OUTILS en métal;;;;;;;;;;;;x
minerai4_outils_desc;The abundance and quality of present metals permits the forging of ever more robust and powerful tools that adorn the markets and fairs.;L'abondance et la qualité des métaux disponibles permettent la fabrication d'outils toujours plus solides et performants qui s'arrancent sur les marchés et foires.;;;;;;;;;;;;x
minerai3_salaison;SALAISONS;SALAISONS;;;;;;;;;;;;x
minerai3_salaison_desc;The abundance of salt makes it cheaper in this province, which makes it commonly used in conserving produce. These salted products travel much better and can be sold regionally.;L'abondance de sel le rend meilleur marché dans cette province, ce qui en rend l'usage pour la conservation plus commun. Ces même salaisons voyagent bien mieux et peuvent donc être vendues dans toute la région.;;;;;;;;;;;;x
peche1;Fishing Region;Région de Pêche;;;;;;;;;;;;x
peche1_desc;The bountiful waters that border these coasts, in addition to feeding the local population, probably have the potential for more profitable operations.;Les eaux poissonneuses qui bordent ces côtes, en plus de nourrir la population locale, ont probablement le potentiel pour une exploitation plus rémunératrice.;;;;;;;;;;;;x
peche2_poisson;Fishing region;Région de Pêche;;;;;;;;;;;;x
peche2_poisson_desc;The waters around the province wriggle in silver fish ... it only remains to go pick them!;Les eaux bordant cette province frétillent de poissons aux reflets argentés... il ne reste qu'à aller les cueillir !;;;;;;;;;;;;x
pisci1;Potentional for Aquaculture;Potentiel pour la Pisciculture;;;;;;;;;;;;x
pisci1_desc;The many lakes and rivers in the area are well suited to the breeding of freshwater fish. Probably an idea to float around.;Les nombreux étangs et rivières de la région se prêtent très bien à l'élevage de poissons d'eau douce. Probablement une idée à creuser.;;;;;;;;;;;;x
pisci2_poisson;FISH from Aquaculture;Région Piscicole;;;;;;;;;;;;x
pisci2_poisson_desc;Whether in the wild or in the dugouts that multiply, fish farming feed the regions people and provision the noble tables with fresh produce.;Que ce soit en milieu naturel ou dans les étangs artificiels qui se multiplient, l'activité piscicole nourrit les populations et approvisionnent les tables nobles de la région en produit frais.;;;;;;;;;;;;x
peche_pisci3_fumaison;FISH SMOKING;FUMAISONS;;;;;;;;;;;;x
peche_pisci3_fumaison_desc;The best way to store and transport such an abundance of fish continues to be smoking them, which has also become a speciality of this province.;Le meilleur moyen de conserver et transporter une telle abondance de poisson reste encore le traitement par fumaison, qui est par ailleurs devenue une spécialité de cette province.;;;;;;;;;;;;x
peaux2_fourrure;FURS;FOURRURES;;;;;;;;;;;;x
peaux2_fourrure_desc;Pelts and furs arriving by the commercial routes assure comfortable revenue margins and delight those who want to show their wealth for all to see !;Peaux et fourrures arrivées par les routes commerciales assurent des marges de reventes confortables et réjouissent tous les ceux qui veulent exposer leur richesse aux yeux de tous !;;;;;;;;;;;;x
joyaux2_bijoux;JEWELS;JOYAUX;;;;;;;;;;;;x
joyaux2_bijoux_desc;Jewelery, precious stones and jewels are not for everyone, however they find buyers and fill the coffers of dusty merchants.;Bijoux, pierres précieuses et joyaux ne sont pas à la portée de tous, néanmoins ils trouvent acheteurs et remplissent les caisses des marchands poussiéreux.;;;;;;;;;;;;x
epices2_epices;SPICES;EPICES;;;;;;;;;;;;x
epices2_epices_desc;Spice must flow !;Les épices, l'or des marchands qui arpentent le monde à leur recherche. Très rares et très chères, elles ont fait la fortune de certains d'entres eux.;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
foret_poor;Diminished forets;Forêt Amoindrie;;;;;;;;;;;;x
foret_poor_desc;Yonder forests have suffered from an over-exploitation which has reduced their numbers and quality;Les forêts ici ont souffert d'une surexploitation ce qui amoindrie leur surface et leur rendement.;;;;;;;;;;;;x
recolte_bonne;Good crop;Bonne Récolte;;;;;;;;;;;;x
recolte_mauvaise;Bad crop;Mauvaise Récolte;;;;;;;;;;;;x
peche_bonne;Bountiful fishing;Pêche abondante;;;;;;;;;;;;x
peche_bonne_desc;The fishing is very good this year and food should not be in short supply this winter. Well-fed fishermen are happy fishermen, less averse to pay taxes.;Cette Annee la pêche a ête supérieur des pêcheurs bien nourris sont des pêcheurs contents et qui rechignent moins à payer leurs taxes.;;;;;;;;;;;;x
peche_mauvaise;Poor fishing;Pêche médiocre;;;;;;;;;;;;x
peche_mauvaise_desc;Very bad fishing season. Does not bode well. halved revenue and risk of revolt are on the menu in place of fish...;La très mauvaise saison de pêche n'augure rien de bon, revenus en berne et risques de révoltes sont au menu à défaut de poisson...;;;;;;;;;;;;x
mine_accident;Mine accident;Accident minier;;;;;;;;;;;;x
mine_accident_desc;Some people recently died in the mine;Certains ouvriers sont morts récemment dans la mine;;;;;;;;;;;;x
mine_filon;Recently found lode;Filon de minerai;;;;;;;;;;;;x
mine_filon_desc;Recently found lode;Un nouveau filon de minerai a été récemment découvert. La productivité s'en trouve améliorée temporairement.;;;;;;;;;;;;x
industrie_prospere;Industrial prosperity;Industrie propère;;;;;;;;;;;;x
industrie_prospere_desc;The peace permits a prosperous industry;La paix permet à l'industrie de prospérer.;;;;;;;;;;;;x
#;x;x;;;;;;;;;;;;x
pont_fluvial;Bridge;Pont;;;;;;;;;;;;x
pont_fluvial_desc;Bridge desc;The bridge over this important river is a must for a number of merchants that stand of profit from good income generated through a policy of levying tolls.;Le pont qui enjambe cet important cours d'eau est un passage obligé pour de nombreux marchands qui peut être mis à profit pour générer des revenus confortables par une politique de prélèvement de droits de péages.;;;;;;;;;;;x
#;x;x;;;;;;;;;;;;x
province_cotiere;Sea access;Accès à la mer;;;;;;;;;;;;x
province_cotiere_desc;This province benefits from its situation being beside the sea or a big lake favouring trade and fishing.;Cette province bénéficie d'une situation en bord de mer ou d'un grand lac propice au commerce et à la pêche.;;;;;;;;;;;;x
route_fluviale;River trade route;Voie commerciale fluviale;;;;;;;;;;;;x
route_fluviale_desc;Trade goes by river in this river.;Le transit commercial se fait ici par voie fluviale.;;;;;;;;;;;;x
route_terrestre;Continental trade road;Route de commerce;;;;;;;;;;;;x
route_terrestre_desc;The road that goes through the province brings merchants and their goods.;La route traversant la province est fréquentée par les marchands de passage.;;;;;;;;;;;;x
province_terrestre;Land province;Province continentale;;;;;;;;;;;;x
province_terrestre_desc;This province doesn't benefit from direct sea access.;Cette province ne bénéficie pas d'un accès à la mer.;;;;;;;;;;;;x
province_fleuve;River;Cours d'eau;;;;;;;;;;;;x
province_fleuve_desc;A river large enough to transport merchandises flows there, it is also an obstacle to land movement.;La province est traversée par un ou plusieurs cours d'eau permettant le transport de marchandises mais rendant également difficile le passage d'une rive à l'autre, évidemment, aménager dess chemins de halage ou construire un pont serait profitable.;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
3connexion_commerciale;Commercial node;Noeud commercial;;;;;;;;;;;;x
3connexion_commerciale_desc;This province has access to at least 3 commercial connexions. Commercial connexions can be : land trade roads, fluvial trade roads, sea access and tradeposts. This gives accesss to luxury goods in the cities of the province. The cities have to be big enough.;Cette province a accès à au moins 3 voies commerciales. Les voies commerciales sont soit des routes terrestres, soit des routes fluviales, soit un accès à la mer ou encore un comptoir commercial. Ceci donne accès aux cités de la province, sous réserve qu'elles soient suffisemmant développées, aux biens précieux disponibles uniquement par le commerce. ;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
hills;Hillsides;Côteaux;Hügel;;Colinas;;;;;;;;;x
defenderbonus_hills;Hillsides;Côteaux;Hügel;;Colinas;;;;;;;;;x
paix_de_dieu;Peace of God;Paix de Dieu;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
route_size1;Trade zone I;Zone commerciale I;;;;;;;;;;;;x
route_size1_desc;This indicates the level of the influence of this trade centre over the neighboring region.;Cet indicateur mesure l'étendue de l'influence régionale de ce centre de commerce.;;;;;;;;;;;;x
route_size2;Trade zone II;Zone commerciale II;;;;;;;;;;;;x
route_size2_desc;This indicates the level of the influence of this trade centre over the neighboring region.;Cet indicateur mesure l'étendue de l'influence régionale de ce centre de commerce.;;;;;;;;;;;;x
route_size3;Trade zone III;Zone commerciale III;;;;;;;;;;;;x
route_size3_desc;This indicates the level of the influence of this trade centre over the neighboring region.;Cet indicateur mesure l'étendue de l'influence régionale de ce centre de commerce.;;;;;;;;;;;;x
route_size4;Trade zone IV;Zone commerciale IV;;;;;;;;;;;;x
route_size4_desc;This indicates the level of the influence of this trade centre over the neighboring region.;Cet indicateur mesure l'étendue de l'influence régionale de ce centre de commerce.;;;;;;;;;;;;x
route_size5;Trade zone V;Zone commerciale V;;;;;;;;;;;;x
route_size5_desc;This indicates the level of the influence of this trade centre over the neighboring region.;Cet indicateur mesure l'étendue de l'influence régionale de ce centre de commerce.;;;;;;;;;;;;x
