#CODE;ENGLISH;FRENCH;;;;;;;;;;;;x
opinion_gave_monastery_to_pope;Controls monastery;A laissé au Pape le contrôle du monastère;;;;;;;;;;;;x
opinion_kept_monastery;Kept monastery;A gardé le contrôle du monastère;;;;;;;;;;;;x
founded_monastery;Founded monastery;A fondé un monastère;;;;;;;;;;;;x
opinion_disapproves_of_abbott;Disapproves of abbot;Le prieur désapprouve;;;;;;;;;;;;x
customrel.5.desc;Terrible news. In the process of building the monastery a worker was crushed by a large rock!;Terribles nouvelles. Lors de la construction du monastère, un ouvrier a fini écrasé par un gros bloc de granit !;;;;;;;;;;;;x
customrel.5.a;Let's make sure there aren't any more accidents.;Assurons-nous que cela ne se reproduise plus.;;;;;;;;;;;;x
customrel.5.b;Be more careful next time!;Faîtes plus attention la prochaine fois !;;;;;;;;;;;;x
DISASTERATTHEMONASTERY;Construction Accident;Accident sur le chantier;;;;;;;;;;;;x
customrel.6.desc;Accidents continue to plague construction of the new monastery. The workers who have been hired to build it protest their dangerous working conditions. They are riling up the peasants and the situation has become quite serious.;Des accidents continuent de perturber le l'avancement du chantier du monastère. Les ouvriers protestent contre la dangerosité du travail et demandent plus d'attention de votre part. Ils ont même rallier à leur cause les paysans et la situation devient plutôt sérieuse.;;;;;;;;;;;;x
customrel.6.a;There's no need to panic.;Nul besoin de paniquer.;;;;;;;;;;;;x
customrel.6.b;Superstitious peasants!;Paysans superstitieux !;;;;;;;;;;;;x
customrel.6.c;Perhaps more gold will solve this problem.;Un peu plus d'or résoudra peut être ce problème...;;;;;;;;;;;;x
customrel.7.desc;The abbot of the new monastery has insinuated that the holy relic you own would be best housed inside the monastery's walls, where everyone can come and see it.;Le prieur de notre monastère a laissé entendre que la Sainte relique en notre possession trouverait probablement meilleur usage si elle était hébergée hors des murs du château, accessible aux yeux de tous...;;;;;;;;;;;;x
customrel.7.a;Of course! Let the new monastery become a pilgrimage site!;Certainement ! Que l'on fasse du monastère un lieu de pélérinage !;;;;;;;;;;;;x
customrel.7.b;No. It is safest with me.;Non. Elle est plus en sécurité ici même.;;;;;;;;;;;;x
MOREMONASTERYDISASTERS;Disaster!;Catastrophe !;;;;;;;;;;;;x
founded_monastery;Founded monastery;A fondé un monastère;;;;;;;;;;;;x
dismissed_the_peasants;Dismissed the peasants;A congédié les paysans;;;;;;;;;;;;x
reasurred_the_peasants;Reassured the peasants;A rassuré les paysans;;;;;;;;;;;;x
customrel.9.desc;A papal emissary arrived today suggesting that you give control of your monastery to the Pope, for the glory of God.;Un émissaire du Pape est arrivé aujourd'hui suggérant de confier la gouvernance du monastère au Pape, pour la gloire de Dieu.;;;;;;;;;;;;x
customrel.9.a;Of course!;Qu'il en soit ainsi !;;;;;;;;;;;;x
customrel.9.b;Perhaps he will accept this generous donation instead?;Accepterait-il une généreuse donation à la place ?;;;;;;;;;;;;x
customrel.9.c;Convince the emissary that it's really best if you control the monastery.;Convaincre l'émissaire que le monastère est bien mieux contrôlé par un pouvoir local.;;;;;;;;;;;;x
customrel.10.desc;Your faithful one has accepted your request!;Sa Sainteté a accepté votre requête !;;;;;;;;;;;;x
customrel.10.a;Glory to God!;Gloire à Dieu !;;;;;;;;;;;;x
customrel.11.desc;Your servant has sent you a most generous donation;Votre serviteur vous a fait parvenir une donation plus que généreuse;;;;;;;;;;;;x
customrel.11.a;It's not what I wanted, but it will do.;Ce n'est pas ce que voulais, mais je m'en accommoderais.;;;;;;;;;;;;x
customrel.12.desc;Your servant has made a very convincing argument about keeping the monastery;Votre serviteur a construit un argumentaire efficace pour conserver le monastère;;;;;;;;;;;;x
customrel.12.a;Very persuasive!;Très persuasif !;;;;;;;;;;;;x
opinion_approves_of_abbott;Approves of abbot;A approuvé le Prieur;;;;;;;;;;;;x
donated_monastery;Donated monastery to the Pope;A cédé un monastère au Pape;;;;;;;;;;;;x
kept_monastery;Patron lord of a monastery;A parrainé un monastère;;;;;;;;;;;;x
